time,flowrate
0.2325,2.95377e-05
0.233,2.94499e-05
0.2335,2.93634e-05
0.234,2.92768e-05
0.2345,2.919e-05
0.235,2.91031e-05
0.2355,2.90154e-05
0.236,2.89257e-05
0.2365,2.88341e-05
0.237,2.87406e-05
0.2375,2.86451e-05
0.238,2.85478e-05
0.2385,2.84486e-05
0.239,2.83474e-05
0.2395,2.82444e-05
0.24,2.8138e-05
0.2405,2.80247e-05
0.241,2.79044e-05
0.2415,2.77771e-05
0.242,2.76428e-05
0.2425,2.75016e-05
0.243,2.73534e-05
0.2435,2.71983e-05
0.244,2.70354e-05
0.2445,2.68644e-05
0.245,2.66851e-05
0.2455,2.64976e-05
0.246,2.63021e-05
0.2465,2.60984e-05
0.247,2.58866e-05
0.2475,2.56667e-05
0.248,2.54386e-05
0.2485,2.52023e-05
0.249,2.49578e-05
0.2495,2.47052e-05
0.25,2.44445e-05
0.2505,2.41804e-05
0.251,2.39165e-05
0.2515,2.36526e-05
0.252,2.33888e-05
0.2525,2.31251e-05
0.253,2.28615e-05
0.2535,2.2598e-05
0.254,2.23345e-05
0.2545,2.20712e-05
0.255,2.18079e-05
0.2555,2.15447e-05
0.256,2.12816e-05
0.2565,2.10186e-05
0.257,2.07557e-05
0.2575,2.04928e-05
0.258,2.023e-05
0.2585,1.99676e-05
0.259,1.97069e-05
0.2595,1.94481e-05
0.26,1.9191e-05
0.2605,1.89357e-05
0.261,1.86822e-05
0.2615,1.84304e-05
0.262,1.81804e-05
0.2625,1.79323e-05
0.263,1.76859e-05
0.2635,1.74404e-05
0.264,1.71958e-05
0.2645,1.69521e-05
0.265,1.67106e-05
0.2655,1.6475e-05
0.266,1.62453e-05
0.2665,1.60215e-05
0.267,1.58036e-05
0.2675,1.55917e-05
0.268,1.53857e-05
0.2685,1.51858e-05
0.269,1.49929e-05
0.2695,1.48076e-05
0.27,1.463e-05
0.2705,1.44599e-05
0.271,1.42974e-05
0.2715,1.41426e-05
0.272,1.39955e-05
0.2725,1.38561e-05
0.273,1.37245e-05
0.2735,1.36006e-05
0.274,1.34844e-05
0.2745,1.3376e-05
0.275,1.32753e-05
0.2755,1.31775e-05
0.276,1.30792e-05
0.2765,1.29805e-05
0.277,1.28815e-05
0.2775,1.27821e-05
0.278,1.26823e-05
0.2785,1.25821e-05
0.279,1.24816e-05
0.2795,1.23807e-05
0.28,1.22795e-05
0.2805,1.21778e-05
0.281,1.20758e-05
0.2815,1.19735e-05
0.282,1.18708e-05
0.2825,1.17677e-05
0.283,1.16642e-05
0.2835,1.15604e-05
0.284,1.14526e-05
0.2845,1.13397e-05
0.285,1.12216e-05
0.2855,1.10983e-05
0.286,1.09699e-05
0.2865,1.08364e-05
0.287,1.06976e-05
0.2875,1.05537e-05
0.288,1.04102e-05
0.2885,1.02678e-05
0.289,1.01267e-05
0.2895,9.9869e-06
0.29,9.8483e-06
0.2905,9.711e-06
0.291,9.575e-06
0.2915,9.4403e-06
0.292,9.3068e-06
0.2925,9.1746e-06
0.293,9.0437e-06
0.2935,8.9138e-06
0.294,8.7847e-06
0.2945,8.6565e-06
0.295,8.5292e-06
0.2955,8.4027e-06
0.296,8.277e-06
0.2965,8.1522e-06
0.297,8.0283e-06
0.2975,7.9052e-06
0.298,7.7827e-06
0.2985,7.6607e-06
0.299,7.5391e-06
0.2995,7.4179e-06
0.3,7.2972e-06
0.3005,7.1769e-06
0.301,7.0569e-06
0.3015,6.9373e-06
0.302,6.818e-06
0.3025,6.6989e-06
0.303,6.5801e-06
0.3035,6.4616e-06
0.304,6.3434e-06
0.3045,6.2254e-06
0.305,6.1078e-06
0.3055,5.9904e-06
0.306,5.8733e-06
0.3065,5.7565e-06
0.307,5.6399e-06
0.3075,5.5234e-06
0.308,5.4071e-06
0.3085,5.2908e-06
0.309,5.1782e-06
0.3095,5.0706e-06
0.31,4.9678e-06
0.3105,4.8699e-06
0.311,4.777e-06
0.3115,4.6889e-06
0.312,4.6058e-06
0.3125,4.5275e-06
0.313,4.4487e-06
0.3135,4.3693e-06
0.314,4.2892e-06
0.3145,4.2086e-06
0.315,4.1274e-06
0.3155,4.0456e-06
0.316,3.9632e-06
0.3165,3.8802e-06
0.317,3.7966e-06
0.3175,3.7124e-06
0.318,3.6277e-06
0.3185,3.5423e-06
0.319,3.4563e-06
0.3195,3.3698e-06
0.32,3.2834e-06
0.3205,3.1977e-06
0.321,3.1125e-06
0.3215,3.0278e-06
0.322,2.9437e-06
0.3225,2.8602e-06
0.323,2.7774e-06
0.3235,2.6956e-06
0.324,2.6148e-06
0.3245,2.5349e-06
0.325,2.456e-06
0.3255,2.3781e-06
0.326,2.3012e-06
0.3265,2.2253e-06
0.327,2.1503e-06
0.3275,2.0763e-06
0.328,2.0034e-06
0.3285,1.9313e-06
0.329,1.8603e-06
0.3295,1.7902e-06
0.33,1.7212e-06
0.3305,1.6531e-06
0.331,1.586e-06
0.3315,1.5198e-06
0.332,1.4547e-06
0.3325,1.3908e-06
0.333,1.328e-06
0.3335,1.2664e-06
0.334,1.2059e-06
0.3345,1.1466e-06
0.335,1.0884e-06
0.3355,1.032e-06
0.336,9.775e-07
0.3365,9.249e-07
0.337,8.741e-07
0.3375,8.252e-07
0.338,7.782e-07
0.3385,7.331e-07
0.339,6.898e-07
0.3395,6.484e-07
0.34,6.088e-07
0.3405,5.711e-07
0.341,5.353e-07
0.3415,5.014e-07
0.342,4.694e-07
0.3425,4.392e-07
0.343,4.108e-07
0.3435,3.844e-07
0.344,3.598e-07
0.3445,3.371e-07
0.345,3.154e-07
0.3455,2.945e-07
0.346,2.742e-07
0.3465,2.547e-07
0.347,2.359e-07
0.3475,2.178e-07
0.348,2.005e-07
0.3485,1.838e-07
0.349,1.679e-07
0.3495,1.527e-07
0.35,1.382e-07
0.3505,1.245e-07
0.351,1.114e-07
0.3515,9.91e-08
0.352,8.75e-08
0.3525,7.66e-08
0.353,6.65e-08
